frame;label;measured;error;;;;;;
638;(375, 348);(375, 349);1;;;;;;
639;(375, 348);(375, 349);1;;;;;;
640;(375, 348);(375, 349);1;;;;;;
641;(375, 348);(375, 349);1;;;;;;
642;(375, 348);(375, 349);1;;;;;;
643;(376, 349);(375, 349);1;;;;;;
644;(376, 349);(375, 349);1;;;;;;
645;(376, 349);(375, 350);1.414213562;;;;;;
646;(376, 349);(375, 350);1.414213562;;;;;;
647;(376, 349);(375, 350);1.414213562;;;;;;
648;(376, 350);(375, 350);1;;;;;;
649;(376, 350);None;None;;;;;;
650;(376, 350);(375, 351);1.414213562;;;;;;
651;(376, 350);(375, 351);1.414213562;;;;;;
652;(376, 351);(375, 351);1;;;;;;
653;(375, 351);(375, 351);0;;;;;;
654;(375, 352);(375, 351);1;;;;;;
655;(375, 352);(375, 352);0;;;;;;
656;(374, 353);(374, 352);1;;;;;;
657;(373, 354);(374, 352);2.236067977;;;;;;
658;(372, 356);(374, 353);3.605551275;;;;;;
659;(371, 357);(373, 355);2.828427125;;;;;;
660;(370, 358);(368, 360);2.828427125;;;;;;
661;(368, 360);(364, 365);6.403124237;;;;;;
662;(367, 362);(364, 366);5;;;;;;
663;(365, 364);(363, 367);3.605551275;;;;;;
664;(364, 366);(362, 367);2.236067977;;;;;;
665;(362, 368);(362, 368);0;;;;;;
666;(361, 369);(361, 369);0;;;;;;
667;(361, 369);(361, 369);0;;;;;;
668;(360, 370);(360, 370);0;;;;;;
669;(360, 370);(359, 371);1.414213562;;;;;;
670;(359, 371);(359, 371);0;;;;;;
671;(358, 371);None;None;;;;;;
672;(358, 372);(358, 372);0;;;;;;
673;(357, 372);(357, 372);0;;;;;;
674;(357, 373);(356, 373);1;;;;;;
675;(356, 373);(356, 373);0;;;;;;
676;(356, 374);(355, 374);1;;;;;;
677;(355, 374);(355, 374);0;;;;;;
678;(355, 375);(354, 375);1;;;;;;
679;(354, 375);(354, 375);0;;;;;;
680;(354, 376);(353, 376);1;;;;;;
681;(353, 378);(352, 380);2.236067977;;;;;;
682;(352, 380);(351, 384);4.123105626;;;;;;
683;(351, 382);(350, 385);3.16227766;;;;;;
684;(350, 384);(349, 386);2.236067977;;;;;;
685;(349, 386);(349, 387);1;;;;;;
686;(349, 386);(349, 387);1;;;;;;
687;(348, 387);(348, 388);1;;;;;;
688;(348, 387);(348, 388);1;;;;;;
689;(347, 388);(348, 389);1.414213562;;;;;;
690;(347, 388);(347, 389);1;;;;;;
691;(347, 388);(347, 389);1;;;;;;
692;(347, 388);(347, 389);1;;;;;;
693;(347, 389);(347, 389);0;;;;;;
694;(347, 389);(346, 389);1;;;;;;
695;(347, 389);(346, 390);1.414213562;;;;;;
696;(347, 389);(346, 390);1.414213562;;;;;;
697;(346, 389);(346, 390);1;;;;;;
698;(346, 390);(346, 390);0;;;;;;
699;(345, 390);(345, 390);0;;;;;;
700;(345, 390);(345, 390);0;;;;;;
701;(345, 390);(345, 390);0;;;;;;
702;(344, 390);(344, 390);0;;;;;;
703;(344, 389);(344, 390);1;;;;;;
704;(343, 389);(343, 389);0;;;;;;
705;(343, 389);(343, 389);0;;;;;;
706;(342, 388);(342, 388);0;;;;;;
707;(342, 388);(342, 388);0;;;;;;
708;(341, 387);(341, 388);1;;;;;;
709;(341, 387);(340, 387);1;;;;;;
710;(340, 386);(340, 386);0;;;;;;
711;(339, 386);(339, 386);0;;;;;;
712;(338, 385);(338, 386);1;;;;;;
713;(338, 385);(337, 385);1;;;;;;
714;(337, 384);(336, 385);1.414213562;;;;;;
715;(336, 384);(336, 385);1;;;;;;
716;(335, 385);(335, 384);1;;;;;;
717;(334, 386);(334, 383);3;;;;;;
718;(334, 387);(334, 388);1;;;;;;
719;(333, 388);(333, 389);1;;;;;;
720;(332, 389);(331, 389);1;;;;;;
721;(331, 389);(330, 389);1;;;;;;
722;(330, 389);(329, 389);1;;;;;;
723;(328, 388);(328, 389);1;;;;;;
724;(327, 388);(327, 388);0;;;;;;
725;(326, 388);(326, 388);0;;;;;;
726;(324, 387);(324, 387);0;;;;;;
727;(323, 387);(323, 387);0;;;;;;
728;(321, 386);(321, 386);0;;;;;;
729;(320, 386);(320, 386);0;;;;;;
730;(318, 385);(318, 385);0;;;;;;
731;(316, 384);(317, 384);1;;;;;;
732;(315, 384);(315, 384);0;;;;;;
733;(313, 383);(313, 383);0;;;;;;
734;(312, 383);(311, 382);1.414213562;;;;;;
735;(310, 382);(310, 382);0;;;;;;
736;(308, 381);(308, 381);0;;;;;;
737;(305, 380);(304, 379);1.414213562;;;;;;
738;(303, 378);(302, 378);1;;;;;;
739;(300, 377);(300, 377);0;;;;;;
740;(298, 376);(298, 376);0;;;;;;
741;(293, 375);(295, 375);2;;;;;;
742;(289, 374);(292, 375);3.16227766;;;;;;
743;(284, 374);(285, 374);1;;;;;;
744;(280, 373);(278, 373);2;;;;;;
745;(275, 372);(275, 372);0;;;;;;
746;(273, 371);(272, 372);1.414213562;;;;;;
747;(270, 371);(270, 371);0;;;;;;
748;(268, 370);(268, 370);0;;;;;;
749;(265, 370);(265, 370);0;;;;;;
750;(263, 369);(263, 369);0;;;;;;
751;(261, 368);(260, 368);1;;;;;;
752;(259, 368);(258, 368);1;;;;;;
753;(256, 367);(256, 367);0;;;;;;
754;(254, 367);(253, 366);1.414213562;;;;;;
755;(252, 366);(251, 366);1;;;;;;
756;(250, 365);(249, 365);1;;;;;;
757;(247, 364);(246, 364);1;;;;;;
758;(245, 364);(244, 364);1;;;;;;
759;(242, 363);(242, 363);0;;;;;;
760;(240, 362);(240, 362);0;;;;;;
761;(238, 362);(238, 361);1;;;;;;
762;(236, 362);(236, 361);1;;;;;;
763;(235, 361);(234, 360);1.414213562;;;;;;
764;(233, 361);(232, 359);2.236067977;;;;;;
765;(231, 361);(230, 358);3.16227766;;;;;;
766;(229, 360);(228, 357);3.16227766;;;;;;
767;(227, 359);(226, 356);3.16227766;;;;;;
768;(226, 357);(225, 355);2.236067977;;;;;;
769;(224, 356);(223, 354);2.236067977;;;;;;
770;(222, 355);(221, 353);2.236067977;;;;;;
771;(220, 354);(219, 353);1.414213562;;;;;;
772;(218, 353);(218, 351);2;;;;;;
773;(217, 351);(216, 350);1.414213562;;;;;;
774;(215, 350);(214, 349);1.414213562;;;;;;
775;(213, 349);(213, 348);1;;;;;;
776;(211, 348);(211, 347);1;;;;;;
777;(210, 347);(209, 346);1.414213562;;;;;;
778;(208, 347);(208, 346);1;;;;;;
779;(207, 346);(206, 345);1.414213562;;;;;;
780;(205, 345);(205, 344);1;;;;;;
781;(204, 344);(203, 343);1.414213562;;;;;;
782;(202, 343);(202, 342);1;;;;;;
783;(201, 343);(200, 341);2.236067977;;;;;;
784;(199, 342);(199, 340);2;;;;;;
785;(198, 341);(198, 340);1;;;;;;
786;(197, 340);(197, 339);1;;;;;;
787;(196, 339);(195, 339);1;;;;;;
788;(195, 339);(194, 338);1.414213562;;;;;;
789;(194, 338);(193, 337);1.414213562;;;;;;
790;(193, 337);(192, 337);1;;;;;;
791;(192, 337);(191, 337);1;;;;;;
792;(191, 337);(191, 336);1;;;;;;
793;(191, 336);(190, 336);1;;;;;;
794;(190, 336);(189, 335);1.414213562;;;;;;
795;(189, 336);(188, 335);1.414213562;;;;;;
796;(188, 336);(188, 335);1;;;;;;
797;(188, 335);(187, 335);1;;;;;;
798;(187, 335);(186, 334);1.414213562;;;;;;
799;(187, 334);(186, 334);1;;;;;;
800;(186, 334);(185, 334);1;;;;;;
801;(185, 334);(185, 334);0;;;;;;
802;(185, 334);(184, 333);1.414213562;;;;;;
803;(184, 334);(183, 333);1.414213562;;;;;;
804;(184, 334);(183, 333);1.414213562;;;;;;
805;(183, 334);(183, 333);1;;;;;;
806;(183, 334);(182, 333);1.414213562;;;;;;
807;(182, 334);(181, 332);2.236067977;;;;;;
808;(182, 333);(181, 332);1.414213562;;;;;;
809;(181, 333);(180, 332);1.414213562;;;;;;
810;(181, 333);(180, 332);1.414213562;;;;;;
811;(181, 333);(180, 331);2.236067977;;;;;;
812;(180, 332);(179, 331);1.414213562;;;;;;
813;(180, 332);(179, 331);1.414213562;;;;;;
814;(179, 331);(178, 331);1;;;;;;
815;(179, 331);(178, 330);1.414213562;;;;;;
816;(179, 331);(178, 330);1.414213562;;;;;;
817;(178, 331);(177, 330);1.414213562;;;;;;
818;(178, 330);(177, 330);1;;;;;;
819;(177, 330);(177, 330);0;;;;;;
820;(177, 330);(176, 329);1.414213562;;;;;;
821;(177, 330);(176, 330);1;;;;;;
822;(177, 330);(176, 329);1.414213562;;;;;;
823;(176, 330);(175, 330);1;;;;;;
824;(176, 330);(175, 329);1.414213562;;;;;;
825;(176, 330);(175, 330);1;;;;;;
826;(176, 330);(175, 329);1.414213562;;;;;;
827;(176, 330);(175, 329);1.414213562;;;;;;
828;(175, 330);(175, 329);1;;;;;;
829;(175, 330);(175, 329);1;;;;;;
830;(175, 330);(175, 330);0;;;;;;
831;(175, 330);(174, 330);1;;;;;;
832;(175, 330);(174, 330);1;;;;;;
833;(175, 329);(174, 329);1;;;;;;
834;(175, 329);(175, 329);0;;;;;;
835;(175, 329);(174, 329);1;;;;;;
836;(175, 329);(174, 329);1;;;;;;
837;(175, 329);(175, 328);1;;;;;;
838;(175, 329);(175, 329);0;;;;;;
839;(175, 329);(175, 328);1;;;;;;
840;(175, 329);(175, 328);1;;;;;;
841;(175, 329);(175, 328);1;;;;;;
842;(175, 328);(175, 327);1;;;;;;
843;(176, 328);(175, 326);2.236067977;;;;;;
844;(176, 327);(175, 326);1.414213562;;;;;;
845;(176, 327);(175, 326);1.414213562;;;;;;
846;(176, 327);(175, 326);1.414213562;;;;;;
847;(176, 327);(175, 325);2.236067977;;;;;;
848;(177, 326);(175, 325);2.236067977;;;;;;
849;(177, 326);(176, 325);1.414213562;;;;;;
850;(177, 326);(176, 325);1.414213562;;;;;;
851;(177, 326);(176, 324);2.236067977;;;;;;
852;(177, 326);(176, 324);2.236067977;;;;;;
853;(177, 325);(176, 324);1.414213562;;;;;;
854;(177, 325);(177, 325);0;;;;;;
855;(177, 325);(177, 325);0;;;;;;
856;(177, 326);(177, 326);0;;;;;;
857;(177, 327);(177, 326);1;;;;;;
858;(178, 327);(177, 326);1.414213562;;;;;;
859;(178, 328);(178, 327);1;;;;;;
860;(178, 329);(178, 327);2;;;;;;
861;(178, 329);(178, 328);1;;;;;;
862;(178, 330);(178, 329);1;;;;;;
863;(179, 330);(178, 329);1.414213562;;;;;;
864;(179, 331);(178, 331);1;;;;;;
865;(179, 331);(178, 331);1;;;;;;
866;(179, 335);(178, 332);3.16227766;;;;;;
867;(179, 339);(178, 333);6.08276253;;;;;;
868;(178, 342);(178, 336);6;;;;;;
869;(178, 346);(177, 343);3.16227766;;;;;;
870;(178, 350);(177, 349);1.414213562;;;;;;
871;(178, 351);(177, 353);2.236067977;;;;;;
872;(179, 352);(178, 353);1.414213562;;;;;;
873;(179, 352);(178, 354);2.236067977;;;;;;
874;(180, 353);(178, 355);2.828427125;;;;;;
875;(180, 354);(179, 355);1.414213562;;;;;;
876;(180, 354);(180, 355);1;;;;;;
877;(181, 355);(181, 355);0;;;;;;
878;(181, 355);(181, 355);0;;;;;;
879;(182, 356);(181, 355);1.414213562;;;;;;
880;(182, 356);(182, 356);0;;;;;;
881;(182, 356);(182, 357);1;;;;;;
882;(183, 356);(182, 357);1.414213562;;;;;;
883;(183, 357);(182, 357);1;;;;;;
884;(184, 357);(183, 358);1.414213562;;;;;;
885;(184, 357);(183, 358);1.414213562;;;;;;
886;(184, 357);(183, 358);1.414213562;;;;;;
887;(184, 357);(183, 358);1.414213562;;;;;;
888;(184, 358);(183, 358);1;;;;;;
889;(184, 358);(183, 358);1;;;;;;
890;(184, 358);(183, 358);1;;;;;;
891;(184, 358);(183, 359);1.414213562;;;;;;
892;(184, 358);(183, 359);1.414213562;;;;;;
893;(184, 359);(183, 359);1;;;;;;
894;(184, 359);(183, 359);1;;;;;;
895;(184, 359);(183, 359);1;;;;;;
896;(185, 359);(184, 359);1;;;;;;
897;(185, 359);(184, 359);1;;;;;;
898;(186, 359);(185, 360);1.414213562;;;;;;
899;(186, 359);(185, 359);1;;;;;;
900;(187, 359);(186, 360);1.414213562;;;;;;
901;(188, 359);(187, 360);1.414213562;;;;;;
902;(189, 360);(188, 360);1;;;;;;
903;(190, 360);(189, 361);1.414213562;;;;;;
904;(191, 361);(190, 361);1;;;;;;
905;(192, 361);(191, 362);1.414213562;;;;;;
906;(193, 361);(192, 362);1.414213562;;;;;;
907;(195, 362);(193, 362);2;;;;;;
908;(196, 362);(195, 362);1;;;;;;
909;(198, 363);(197, 362);1.414213562;;;;;;
910;(199, 363);(197, 365);2.828427125;;;;;;
911;(201, 364);(200, 365);1.414213562;;;;;;
912;(202, 365);None;None;;;;;;
913;(204, 365);(204, 365);0;;;;;;
914;(205, 366);(205, 366);0;;;;;;
915;(207, 367);(207, 367);0;;;;;;
916;(208, 368);None;None;;;;;;
917;(210, 369);None;None;;;;;;
918;(211, 369);(211, 369);0;;;;;;
919;(213, 370);(212, 370);1;;;;;;
920;(214, 371);(214, 371);0;;;;;;
921;(216, 372);(215, 372);1;;;;;;
922;(217, 373);(217, 373);0;;;;;;
923;(219, 374);(218, 373);1.414213562;;;;;;
924;(220, 375);(220, 374);1;;;;;;
925;(222, 376);(222, 375);1;;;;;;
926;(224, 377);(223, 376);1.414213562;;;;;;
927;(226, 378);(225, 377);1.414213562;;;;;;
928;(228, 378);(227, 378);1;;;;;;
929;(230, 379);(228, 379);2;;;;;;
930;(232, 380);(232, 380);0;;;;;;
931;(234, 381);(234, 381);0;;;;;;
932;(236, 382);(235, 381);1.414213562;;;;;;
933;(237, 382);(237, 382);0;;;;;;
934;(239, 383);(239, 383);0;;;;;;
935;(241, 384);None;None;;;;;;
936;(243, 385);(243, 384);1;;;;;;
937;(245, 386);(245, 385);1;;;;;;
938;(248, 387);(246, 385);2.828427125;;;;;;
939;(250, 388);(251, 389);1.414213562;;;;;;
940;(252, 389);(252, 388);1;;;;;;
941;(254, 390);(254, 390);0;;;;;;
942;(256, 390);(256, 390);0;;;;;;
943;(257, 391);(258, 391);1;;;;;;
944;(259, 391);None;None;;;;;;
945;(261, 392);None;None;;;;;;
946;(264, 394);None;None;;;;;;
947;(267, 396);None;None;;;;;;
948;(271, 397);None;None;;;;;;
949;(274, 399);None;None;;;;;;
950;(277, 401);None;None;;;;;;
951;(279, 401);None;None;;;;;;
952;(281, 402);None;None;;;;;;
953;(282, 402);(284, 405);3.605551275;;;;;;
954;(284, 403);(284, 405);2;;;;;;
955;(286, 403);(286, 405);2;;;;;;
956;(288, 404);None;None;;;;;;
957;(289, 405);None;None;;;;;;
958;(291, 405);None;None;;;;;;
959;(292, 406);(294, 407);2.236067977;;;;;;
960;(294, 407);(296, 406);2.236067977;;;;;;
961;(295, 407);(295, 407);0;;;;;;
962;(297, 407);(296, 406);1.414213562;;;;;;
963;(298, 408);(297, 406);2.236067977;;;;;;
964;(300, 408);(299, 406);2.236067977;;;;;;
965;(301, 408);(301, 407);1;;;;;;
966;(302, 408);(303, 407);1.414213562;;;;;;
967;(303, 409);(304, 408);1.414213562;;;;;;
968;(305, 409);(306, 408);1.414213562;;;;;;
969;(306, 410);(307, 408);2.236067977;;;;;;
970;(307, 410);(307, 407);3;;;;;;
971;(309, 409);(310, 407);2.236067977;;;;;;
972;(310, 409);(312, 408);2.236067977;;;;;;
973;(312, 408);(312, 407);1;;;;;;
974;(313, 408);(313, 406);2;;;;;;
975;(315, 407);(314, 406);1.414213562;;;;;;
976;(316, 407);(315, 406);1.414213562;;;;;;
977;(317, 408);(316, 406);2.236067977;;;;;;
978;(319, 408);(317, 403);5.385164807;;;;;;
979;(320, 409);(318, 406);3.605551275;;;;;;
980;(321, 409);(320, 407);2.236067977;;;;;;
981;(321, 409);(321, 406);3;;;;;;
982;(322, 409);(320, 406);3.605551275;;;;;;
983;(322, 409);(321, 406);3.16227766;;;;;;
984;(323, 409);(322, 406);3.16227766;;;;;;
985;(323, 409);(323, 406);3;;;;;;
986;(323, 409);(322, 404);5.099019514;;;;;;
987;(323, 409);(323, 406);3;;;;;;
988;(324, 408);(323, 405);3.16227766;;;;;;
989;(324, 408);(323, 404);4.123105626;;;;;;
990;(324, 408);(323, 405);3.16227766;;;;;;
991;(324, 408);(323, 404);4.123105626;;;;;;
992;(324, 408);(323, 404);4.123105626;;;;;;
993;(324, 407);(323, 404);3.16227766;;;;;;
994;(324, 407);(323, 404);3.16227766;;;;;;
995;(324, 407);(323, 406);1.414213562;;;;;;
996;(324, 407);(323, 406);1.414213562;;;;;;
997;(324, 407);(323, 405);2.236067977;;;;;;
998;(324, 407);(323, 405);2.236067977;;;;;;
999;(324, 407);(324, 406);1;;;;;;
1000;(324, 407);(322, 403);4.472135955;;;;;;
1001;(324, 407);(323, 404);3.16227766;;;;;;
1002;(324, 407);(323, 404);3.16227766;;;;;;
1003;(324, 407);(322, 402);5.385164807;;;;;;
1004;(324, 407);(323, 405);2.236067977;;;;;;
1005;(324, 407);(322, 402);5.385164807;;;;;;
1006;(324, 407);(324, 406);1;;;;;;
1007;(324, 407);(323, 403);4.123105626;;;;;;
1008;(325, 406);(324, 405);1.414213562;;;;;;
1009;(325, 406);(324, 403);3.16227766;;;;;;
1010;(325, 406);(324, 404);2.236067977;;;;;;
1011;(325, 405);(324, 401);4.123105626;;;;;;
1012;(325, 405);(324, 401);4.123105626;;;;;;
1013;(326, 404);None;None;;;;;;
1014;(326, 404);(325, 400);4.123105626;;;;;;
1015;(326, 403);(325, 401);2.236067977;;;;;;
1016;(326, 402);(326, 400);2;;;;;;
1017;(327, 402);(326, 399);3.16227766;;;;;;
1018;(327, 401);(327, 399);2;;;;;;
1019;(328, 401);(327, 399);2.236067977;;;;;;
1020;(328, 400);(329, 400);1;;;;;;
1021;(329, 399);(327, 393);6.32455532;;;;;;
1022;(330, 399);(330, 398);1;;;;;;
1023;(330, 398);(330, 396);2;;;;;;
1024;(331, 398);(330, 395);3.16227766;;;;;;
1025;(332, 397);(332, 396);1;;;;;;
1026;(335, 395);(334, 392);3.16227766;;;;;;
1027;(337, 394);(341, 392);4.472135955;;;;;;
1028;(340, 392);(342, 389);3.605551275;;;;;;
1029;(342, 391);(343, 387);4.123105626;;;;;;
1030;(345, 389);(344, 387);2.236067977;;;;;;
1031;(346, 388);(345, 387);1.414213562;;;;;;
1032;(346, 388);(345, 385);3.16227766;;;;;;
1033;(347, 387);(346, 385);2.236067977;;;;;;
1034;(347, 387);(347, 385);2;;;;;;
1035;(348, 386);(347, 385);1.414213562;;;;;;
1036;(348, 386);(347, 383);3.16227766;;;;;;
1037;(348, 385);(348, 383);2;;;;;;
1038;(349, 385);(348, 382);3.16227766;;;;;;
1039;(349, 384);(348, 383);1.414213562;;;;;;
1040;(349, 384);(348, 382);2.236067977;;;;;;
1041;(349, 384);(348, 382);2.236067977;;;;;;
1042;(349, 384);(348, 382);2.236067977;;;;;;
1043;(349, 383);(348, 381);2.236067977;;;;;;
1044;(349, 383);(348, 380);3.16227766;;;;;;
1045;(349, 383);(348, 381);2.236067977;;;;;;
1046;(346, 383);(346, 382);1;;;;;;
1047;(343, 384);(337, 383);6.08276253;;;;;;
1048;(341, 384);(334, 384);7;;;;;;
1049;(338, 385);(333, 382);5.830951895;;;;;;
1050;(335, 385);(333, 383);2.828427125;;;;;;
1051;(334, 384);(333, 384);1;;;;;;
1052;(333, 384);None;None;;;;;;
1053;(332, 383);(331, 383);1;;;;;;
1054;(331, 383);(330, 382);1.414213562;;;;;;
1055;(330, 382);(329, 380);2.236067977;;;;;;
1056;(328, 381);None;None;;;;;;
1057;(326, 380);None;None;;;;;;
1058;(325, 378);None;None;;;;;;
1059;(323, 377);(324, 380);3.16227766;;;;;;
1060;(321, 376);(321, 378);2;;;;;;
1061;(315, 374);None;None;;;;;;
1062;(309, 372);(307, 372);2;;;;;;
1063;(304, 371);(296, 368);8.544003745;;;;;;
1064;(298, 369);None;None;;;;;;
1065;(292, 367);None;None;;;;;;
1066;(290, 366);(288, 363);3.605551275;;;;;;
1067;(287, 364);(286, 362);2.236067977;;;;;;
1068;(285, 363);(284, 362);1.414213562;;;;;;
1069;(282, 361);(282, 360);1;;;;;;
1070;(280, 360);(279, 359);1.414213562;;;;;;
1071;(277, 359);(277, 358);1;;;;;;
1072;(275, 357);(274, 357);1;;;;;;
1073;(272, 356);(272, 356);0;;;;;;
1074;(270, 354);(270, 356);2;;;;;;
1075;(267, 353);(266, 353);1;;;;;;
1076;(264, 351);(262, 351);2;;;;;;
1077;(260, 349);(258, 349);2;;;;;;
1078;(257, 348);(256, 349);1.414213562;;;;;;
1079;(253, 346);(254, 347);1.414213562;;;;;;
1080;(250, 344);(251, 346);2.236067977;;;;;;
1081;(245, 343);(248, 345);3.605551275;;;;;;
1082;(241, 342);(246, 343);5.099019514;;;;;;
1083;(236, 340);(244, 343);8.544003745;;;;;;
1084;(232, 339);(241, 342);9.486832981;;;;;;
1085;(227, 338);(238, 340);11.18033989;;;;;;
1086;(225, 337);(235, 338);10.04987562;;;;;;
1087;(224, 335);None;None;;;;;;
1088;(222, 334);(226, 331);5;;;;;;
1089;(221, 332);None;None;;;;;;
1090;(219, 331);None;None;;;;;;
1091;(218, 331);None;None;;;;;;
1092;(217, 331);None;None;;;;;;
1093;(215, 331);None;None;;;;;;
1094;(214, 331);(211, 328);4.242640687;;;;;;
1095;(213, 331);(209, 325);7.211102551;;;;;;
1096;(211, 330);(208, 325);5.830951895;;;;;;
1097;(210, 329);(207, 325);5;;;;;;
1098;(208, 328);(206, 323);5.385164807;;;;;;
1099;(207, 327);(204, 323);5;;;;;;
1100;(205, 326);(202, 321);5.830951895;;;;;;
1101;(204, 326);(201, 321);5.830951895;;;;;;
1102;(203, 325);(201, 323);2.828427125;;;;;;
1103;(201, 325);(200, 324);1.414213562;;;;;;
1104;(200, 324);(199, 322);2.236067977;;;;;;
1105;(199, 324);(199, 322);2;;;;;;
1106;(198, 323);(197, 322);1.414213562;;;;;;
1107;(197, 322);(196, 322);1;;;;;;
1108;(195, 322);(195, 320);2;;;;;;
1109;(194, 321);(194, 319);2;;;;;;
1110;(193, 320);(193, 318);2;;;;;;
1111;(192, 319);(192, 318);1;;;;;;
1112;(191, 318);(190, 316);2.236067977;;;;;;
1113;(189, 318);(189, 316);2;;;;;;
1114;(188, 317);(188, 316);1;;;;;;
1115;(187, 316);(187, 315);1;;;;;;
1116;(186, 315);(186, 314);1;;;;;;
1117;(185, 315);(186, 314);1.414213562;;;;;;
1118;(185, 314);(185, 313);1;;;;;;
1119;(184, 314);(184, 312);2;;;;;;
1120;(183, 313);(184, 312);1.414213562;;;;;;
1121;(183, 313);(183, 311);2;;;;;;
1122;(182, 312);(182, 311);1;;;;;;
1123;(182, 312);(182, 310);2;;;;;;
1124;(181, 311);(181, 310);1;;;;;;
1125;(181, 311);(181, 309);2;;;;;;
1126;(179, 310);(180, 309);1.414213562;;;;;;
1127;(178, 310);(180, 308);2.828427125;;;;;;
1128;(176, 309);(177, 309);1;;;;;;
1129;(175, 309);(173, 307);2.828427125;;;;;;
1130;(173, 308);(172, 306);2.236067977;;;;;;
1131;(173, 308);(172, 306);2.236067977;;;;;;
1132;(173, 307);(172, 305);2.236067977;;;;;;
1133;(172, 307);(172, 305);2;;;;;;
1134;(172, 306);(172, 305);1;;;;;;
1135;(172, 306);(172, 304);2;;;;;;
1136;(172, 306);(172, 305);1;;;;;;
1137;(172, 306);(172, 304);2;;;;;;
1138;(172, 305);(172, 304);1;;;;;;
1139;(172, 305);(172, 304);1;;;;;;
1140;(172, 305);(172, 304);1;;;;;;
1141;(172, 305);(172, 303);2;;;;;;
1142;(173, 305);(172, 303);2.236067977;;;;;;
1143;(173, 305);(173, 303);2;;;;;;
1144;(174, 305);(173, 303);2.236067977;;;;;;
1145;(174, 305);(173, 303);2.236067977;;;;;;
1146;(174, 305);(173, 303);2.236067977;;;;;;
1147;(174, 304);(173, 302);2.236067977;;;;;;
1148;(174, 304);(173, 303);1.414213562;;;;;;
1149;(174, 303);(173, 302);1.414213562;;;;;;
1150;(174, 303);(174, 302);1;;;;;;
1151;(174, 302);(174, 302);0;;;;;;
1152;(174, 301);(174, 302);1;;;;;;
1153;(175, 301);(174, 302);1.414213562;;;;;;
1154;(175, 300);(174, 302);2.236067977;;;;;;
1155;(175, 299);(174, 302);3.16227766;;;;;;
1156;(175, 299);(174, 301);2.236067977;;;;;;
1157;(175, 300);(175, 301);1;;;;;;
1158;(176, 300);(175, 300);1;;;;;;
1159;(176, 301);(176, 300);1;;;;;;
1160;(176, 301);(176, 299);2;;;;;;
1161;(177, 300);(177, 299);1;;;;;;
1162;(178, 299);(177, 298);1.414213562;;;;;;
1163;(178, 298);(178, 297);1;;;;;;
1164;(179, 297);(179, 297);0;;;;;;
1165;(180, 296);(180, 296);0;;;;;;
1166;(180, 293);(181, 294);1.414213562;;;;;;
1167;(181, 291);(181, 293);2;;;;;;
1168;(181, 288);(182, 292);4.123105626;;;;;;
1169;(182, 286);(182, 289);3;;;;;;
1170;(182, 283);(181, 280);3.16227766;;;;;;
1171;(183, 282);(183, 278);4;;;;;;
1172;(184, 280);(184, 277);3;;;;;;
1173;(184, 279);(185, 277);2.236067977;;;;;;
1174;(185, 277);(185, 276);1;;;;;;
1175;(186, 276);(186, 275);1;;;;;;
1176;(186, 275);(187, 275);1;;;;;;
1177;(187, 275);(187, 275);0;;;;;;
1178;(187, 274);(187, 275);1;;;;;;
1179;(188, 274);(187, 272);2.236067977;;;;;;
1180;(188, 273);(188, 273);0;;;;;;
1181;(188, 273);(188, 272);1;;;;;;
1182;(189, 273);(189, 273);0;;;;;;
1183;(189, 272);(189, 272);0;;;;;;
1184;(190, 272);(190, 272);0;;;;;;
1185;(190, 272);(190, 272);0;;;;;;
1186;(191, 272);(191, 271);1;;;;;;
1187;(192, 273);(192, 273);0;;;;;;
1188;(194, 273);(193, 272);1.414213562;;;;;;
1189;(195, 274);(195, 273);1;;;;;;
1190;(196, 274);(196, 273);1;;;;;;
1191;(199, 276);(197, 273);3.605551275;;;;;;
1192;(202, 278);(199, 274);5;;;;;;
1193;(205, 280);(200, 275);7.071067812;;;;;;
1194;(208, 282);(204, 277);6.403124237;;;;;;
1195;(211, 284);(211, 284);0;;;;;;
1196;(212, 286);(213, 290);4.123105626;;;;;;
1197;(214, 288);(214, 291);3;;;;;;
1198;(215, 289);(215, 292);3;;;;;;
1199;(217, 291);(217, 293);2;;;;;;
1200;(218, 293);(219, 293);1;;;;;;
1201;(220, 294);(220, 294);0;;;;;;
1202;(222, 295);(222, 295);0;;;;;;
1203;(223, 295);(223, 296);1;;;;;;
1204;(225, 296);(225, 297);1;;;;;;
1205;(227, 297);(227, 298);1;;;;;;
1206;(229, 298);(229, 299);1;;;;;;
1207;(231, 299);(231, 299);0;;;;;;
1208;(233, 299);(233, 300);1;;;;;;
1209;(235, 300);(235, 301);1;;;;;;
1210;(237, 301);(237, 302);1;;;;;;
1211;(239, 302);(239, 302);0;;;;;;
1212;(241, 303);(241, 303);0;;;;;;
1213;(244, 303);(243, 304);1.414213562;;;;;;
1214;(246, 304);(245, 304);1;;;;;;
1215;(248, 305);(248, 305);0;;;;;;
1216;(251, 306);(250, 306);1;;;;;;
1217;(253, 307);(252, 307);1;;;;;;
1218;(256, 309);(254, 308);2.236067977;;;;;;
1219;(258, 310);(256, 309);2.236067977;;;;;;
1220;(261, 311);(261, 310);1;;;;;;
1221;(263, 312);(263, 311);1;;;;;;
1222;(265, 313);(265, 312);1;;;;;;
1223;(268, 313);(268, 312);1;;;;;;
1224;(270, 314);(270, 313);1;;;;;;
